../ChessOk.com/mega-clean.pgn
0 0 0.0% 0.0s
10000 10000 2.1% 20.7s
20000 20000 4.2% 41.0s
30000 30000 6.4% 62.1s
30000 62.1s
         175767872 function calls (175766556 primitive calls) in 62.177 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 events.py:162(AbstractServer)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      256    0.000    0.000    0.002    0.000 __init__.py:377(_step_attacks)
       24    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BaseBoard)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
       52    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
      513    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
    81/45    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 tasks.py:99(Task)
      174    0.000    0.000    0.000    0.000 typing.py:665(_is_dunder)
        1    0.000    0.000    0.000    0.000 streams.py:203(StreamReaderProtocol)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        1    0.000    0.000    0.017    0.017 engine.py:17(<module>)
       66    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      306    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.025    0.025 pgn.py:17(<module>)
      235    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      236    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       19    0.000    0.000    0.003    0.000 sre_parse.py:939(parse)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       27    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      238    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.005    0.005 ssl.py:4(<module>)
       66    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
      237    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
    103/3    0.000    0.000    0.091    0.030 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       61    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       38    0.000    0.000    0.000    0.000 typing.py:191(_collect_type_vars)
        4    0.000    0.000    0.015    0.004 __init__.py:1(<module>)
       13    0.000    0.000    0.002    0.000 enum.py:528(_convert_)
       50    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       98    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      415    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      433    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      433    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       55    0.000    0.000    0.002    0.000 enum.py:358(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:1432(Board)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      328    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      200    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       22    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       19    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       24    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       24    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
       12    0.000    0.000    0.000    0.000 typing.py:1007(__init_subclass__)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        6    0.000    0.000    0.001    0.000 dataclasses.py:489(_init_fn)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       19    0.000    0.000    0.000    0.000 enum.py:977(__and__)
       75    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        8    0.000    0.000    0.000    0.000 typing.py:628(__init__)
      222    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
    29/26    0.000    0.000    0.000    0.000 typing.py:271(inner)
        1    0.000    0.000    0.013    0.013 base_events.py:1(<module>)
      327    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      411    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       19    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
       62    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      138    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      142    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       66    0.000    0.000    0.000    0.000 {built-in method fromkeys}
    19/13    0.000    0.000    0.004    0.000 {built-in method builtins.__import__}
       10    0.000    0.000    0.000    0.000 typing.py:985(__class_getitem__)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
    21/17    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       26    0.000    0.000    0.000    0.000 typing.py:677(__init__)
        8    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       28    0.000    0.000    0.000    0.000 abc.py:105(__new__)
      111    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      103    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       36    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       24    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       19    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
    13/12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
       29    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
      156    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      115    0.000    0.000    0.000    0.000 typing.py:565(__eq__)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:10(<module>)
       26    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
       16    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       23    0.000    0.000    0.000    0.000 typing.py:524(__init__)
       50    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       60    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       42    0.000    0.000    0.000    0.000 enum.py:670(__new__)
      136    0.000    0.000    0.000    0.000 enum.py:551(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:380(<listcomp>)
      116    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 coroutines.py:1(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:481(Literal)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
        6    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:381(<listcomp>)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      170    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
       26    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        6    0.000    0.000    0.000    0.000 typing.py:832(__getitem__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
       80    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
        6    0.000    0.000    0.000    0.000 dataclasses.py:539(_repr_fn)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
       26    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
        1    0.000    0.000    0.000    0.000 base_events.py:389(BaseEventLoop)
        6    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
       25    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
       19    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
       66    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       52    0.000    0.000    0.000    0.000 dataclasses.py:597(_is_classvar)
       38    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.002    0.002 svg.py:21(<module>)
        1    0.000    0.000    0.001    0.001 staggered.py:1(<module>)
      126    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 engine.py:2703(SimpleEngine)
       62    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
